No.,Código,Nombre,Sector,Nombre Rector,Teléfono,Correo Electrónico
1,252001003096,I.E.M. FRANCISCO DE LA VILLOTA,Público,EUDOXIA MONCAYO GIRALDO,7221582-3147098911,iemvillota@sempasto.gov.co
2,252001000097,C.E.M. SAN FRANCISCO DE ASIS,Público,DORA INES ESTRADA LOPEZ,3214311828,cemasis@sempasto.gov.co
3,252001000283,I.E.M. CRISTO REY,Público,ELVIO MONTERO ORDOÑEZ,7237274 - 3128663789,iemcristorey@sempasto.gov.co
4,152001000769,I.E.M. LIBERTAD,Público,PAULO EMILIO DIAZ MONTENEGRO,7364765-3173712898,iemlibertad@sempasto.gov.co paulo.diaz@iemlibertad.edu.co
5,252001002103,C.E.M. JAMONDINO,Público,PATRICIA GRIJALBA VALLEJO,3154346439,cemjamondino@sempasto.gov.co pagry2009@gmail.com
6,252001001263,C.E.M. LOS ANGELES,Público,BENAVIDES SANTACRUZ MILTON GIOVANNY,3225735145,mbenavides98@gmail.com cemlosangeles@sempasto.gov.co
7,252001001247,I.E.M. EL SOCORRO,Público,RAFAEL SNIDER BASTIDAS SANCHEZ,3136820189,cemsocorro@sempasto.gov.co  cemelsocorro@hotmail.com
8,152001000661,I.E.M. NORMAL SUPERIOR DE PASTO,Público,JOSE ELIAS CORAL ASAIN,7235180,iemescuelanormal@sempasto.gov.co
9,152001004209,I.E.M. CHAMBU,Público,JOSE ARTURO GUERRERO SANTANDER,7214357,iemchambu@sempasto.gov.co
10,152001002842,I.E.M. MERCEDARIO,Público,RODRIGO ALBERTO DAVILA FIGUEROA,7303815-7303859-3004330020,iemmercedario@sempasto.gov.co rdavila08@gmail.com
11,152001002711,I.E.M. ARTEMIO MENDOZA CARVAJAL,Público,FRANCISCO EMILIO JUAJINOY ESPAÑA,7292724-3183067804,iemartemiomendoza@sempasto.gov.co iemamendoza@gmail.com fjuajinoy@gmail.com
12,452001005098,I.E. MUNICIPAL MARIA DE NAZARETH,Público,BARBARA ALBARRACIN CELY,7219950-3137058603,nazarethmaria2018@gmail.com
13,252001003282,I.E.M. JOSE ANTONIO GALAN,Público,MARIA CLEMENCIA PRADO GALARZA,3148290560,mariaclemenciapg@gmail.com
14,252001000470,I.E.M. MARCO FIDEL SUÁREZ,Público,JUAN CARLOS BASTIDAS RODRIGUEZ,7362255-3128739293,iemmarcofidelsuarez@sempasto.gov.co juancarlosbastidasrodriguez@gmail.com
15,252001003380,I.E.M. NUESTRA SEÑORA DE GUADALUPE,Público,ROSA CECILIA BUSTOS ERASO,7217671- 3146194892 -3175112863,iemguadalupe@sempasto.gov.co ceciliabustos22@gmail.com
16,152001006589,I.E.M. CIUDADELA DE PAZ,Público,CARLOS OSWALDO MUÑOZ ROSERO,3162525828-3175026279,ciupazpasto@gmail.com carlosm2112@gmail.com
17,152001000785,I.E.M. LUIS DELFIN INSUASTY RODRIGUEZ,Público,JAIME GUERRERO VINUEZA,7235141-7237356-3218029346,rectoriainempasto@gmail.com
18,152001003008,I.E.M. LA ROSA,Público,HNA MARTHA CECILIA DUQUE MUÑOZ,7206137,iemlarosa@sempasto.gov.co  rectorialarosa@gmail.com
19,252001000232,C.E.M. LA CALDERA,Público,BENAVIDES RUIZ SEGUNDO EMILIO,3183023765,cemcaldera@sempasto.gov.co
20,252001003258,C.E.M. LA VICTORIA,Público,BOLAÑOS JAIRO RICARDO,3218029346,cemvictoria@sempasto.gov.co jairobol@hotmail.com
21,252001000186,I.E.M. GUALMATAN,Público,SANDRA YANETH MORA MORENO,3122224530,iemgualmatan@sempasto.gov.co smoram72@gmail.com
22,152001000793,LIC INTEGD DE BTO UNIVERSIDAD DE NARIÑO,Público,GUIDO FERNANDO GARZON VELASQUEZ,7298654 - 7230965,liceoudenar@sempasto.gov.co liceoudenar@udenar.edu.co
23,252001002120,C.E.M. CEROTAL,Público,PAZ ERAZO GLORIA MARLEN,3148206517,cerotal2011@gmail.com gloriapaze@hotmail.com
24,252001000500,I.E.M. CABRERA,Público,OSCAR ALBERTO NARVAEZ GUERRERO,3234650723,iemcabrera@sempasto.gov.co oang2010@gmail.com
25,252001001603,C.E.M. CAMPANERO,Público,MEJIA YEPES VICTORIA INES,3006271978,vyky-123@hotmail.com
26,452001004024,I.E.M. OBONUCO,Público,JUAN CARLOS MUÑOZ ORDOÑEZ,3217593012 - 3214628881,iemobonuco@sempasto.gov.co iemobonuco@gmail.com
27,452001003745,I.E.M. FRANCISCO JOSE DE CALDAS,Público,DIAZ JOJOA CARLOS FRANCISCO,3122192033,iemcaldas@sempasto.gov.co
28,252001004904,I.E.M. SANTA TERESITA,Público,MEJIA RAMIREZ JAIME ORLANDO,7217664 - 3006511140,iemteresita@sempasto.gov.co iemstateresitacatambuco@gmail.com j.o_tigre@hotmail.com
29,152001000718,I.E.M. SAN JOSE BETHLEMITAS,Público,BLANCA MERCEDES ARDILA CALDERON,7292206 -3125190401,iembethlemitas@sempasto.gov.co secretariapscj@gmail.com blancamercedesa@gmail.com
30,352001002817,I.E.M. SAN JUAN BOSCO,Público,FERNANDO PARRA SAAVEDRA,7212074-7200017,iemsanjuanboscopasto@gmail.com
31,152001003750,I.E.M. CENT DE INTEGRACION POPULAR,Público,CLAUDIO EMILIO RAMIREZ BARCO,7364648-3128065534,iemcentrointegracionpopular@sempasto.gov.co emirab9@yahoo.es
32,152001001706,I.E.M. LICEO CENTRAL DE NARIÑO,Público,EMILIO JAVIER MONCAYO SALAZAR,7235363-7293160-3226133705,iemlicenar@gmail.com ejmons@gmail.com
33,252001002863,I.E.M. AGUSTIN AGUALONGO,Público,ALICIA DEL CARMEN LUCERO VALLEJO,3147910391-3104585331,iemagualongo@sempasto.gov.co iemagustinagualongo@hotmail.com alicialucerovalle@gmail.com
34,252001004831,I.E.M. EDUARDO ROMO ROSERO,Público,LUZ MARINA ZUÑIGA BURBANO,3187080055 - 7208325,iemromo@gmail.com   luzmazbu@gmail.com
